
mysql> select * from item,customer;
+-----+------------+-----------+--------+--------+-----+---------+---------+------------+
| ino | iname      | itype     | iprice | icount | cno | cname   | ccity   | cmobile    |
+-----+------------+-----------+--------+--------+-----+---------+---------+------------+
|   1 | kitkat     | chocolate |     17 |     95 |   1 | Srushti | Pune    | 8978675678 |
|   2 | perk       | chocolate |     17 |    195 |   1 | Srushti | Pune    | 8978675678 |
|   3 | 5star      | chocolate |     17 |     15 |   1 | Srushti | Pune    | 8978675678 |
|   4 | cadboury   | chocolate |     22 |     15 |   1 | Srushti | Pune    | 8978675678 |
|   5 | milk       | grocery   |     28 |     95 |   1 | Srushti | Pune    | 8978675678 |
|   6 | bread      | grocery   |     44 |    195 |   1 | Srushti | Pune    | 8978675678 |
|   7 | snacks     | grocery   |     17 |     15 |   1 | Srushti | Pune    | 8978675678 |
|   8 | earbuds    | gadgets   |    510 |     15 |   1 | Srushti | Pune    | 8978675678 |
|   9 | watch      | gadgets   |    580 |     15 |   1 | Srushti | Pune    | 8978675678 |
|  10 | headphones | gadgets   |    610 |     15 |   1 | Srushti | Pune    | 8978675678 |
|   1 | kitkat     | chocolate |     17 |     95 |   3 | Anshika | Nagpur  | 9876234567 |
|   2 | perk       | chocolate |     17 |    195 |   3 | Anshika | Nagpur  | 9876234567 |
|   3 | 5star      | chocolate |     17 |     15 |   3 | Anshika | Nagpur  | 9876234567 |
|   4 | cadboury   | chocolate |     22 |     15 |   3 | Anshika | Nagpur  | 9876234567 |
|   5 | milk       | grocery   |     28 |     95 |   3 | Anshika | Nagpur  | 9876234567 |
|   6 | bread      | grocery   |     44 |    195 |   3 | Anshika | Nagpur  | 9876234567 |
|   7 | snacks     | grocery   |     17 |     15 |   3 | Anshika | Nagpur  | 9876234567 |
|   8 | earbuds    | gadgets   |    510 |     15 |   3 | Anshika | Nagpur  | 9876234567 |
|   9 | watch      | gadgets   |    580 |     15 |   3 | Anshika | Nagpur  | 9876234567 |
|  10 | headphones | gadgets   |    610 |     15 |   3 | Anshika | Nagpur  | 9876234567 |
|   1 | kitkat     | chocolate |     17 |     95 |   4 | Arushi  | Delhi   | 9876237898 |
|   2 | perk       | chocolate |     17 |    195 |   4 | Arushi  | Delhi   | 9876237898 |
|   3 | 5star      | chocolate |     17 |     15 |   4 | Arushi  | Delhi   | 9876237898 |
|   4 | cadboury   | chocolate |     22 |     15 |   4 | Arushi  | Delhi   | 9876237898 |
|   5 | milk       | grocery   |     28 |     95 |   4 | Arushi  | Delhi   | 9876237898 |
|   6 | bread      | grocery   |     44 |    195 |   4 | Arushi  | Delhi   | 9876237898 |
|   7 | snacks     | grocery   |     17 |     15 |   4 | Arushi  | Delhi   | 9876237898 |
|   8 | earbuds    | gadgets   |    510 |     15 |   4 | Arushi  | Delhi   | 9876237898 |
|   9 | watch      | gadgets   |    580 |     15 |   4 | Arushi  | Delhi   | 9876237898 |
|  10 | headphones | gadgets   |    610 |     15 |   4 | Arushi  | Delhi   | 9876237898 |
|   1 | kitkat     | chocolate |     17 |     95 |   5 | Rashi   | Mumbai  | 9876722338 |
|   2 | perk       | chocolate |     17 |    195 |   5 | Rashi   | Mumbai  | 9876722338 |
|   3 | 5star      | chocolate |     17 |     15 |   5 | Rashi   | Mumbai  | 9876722338 |
|   4 | cadboury   | chocolate |     22 |     15 |   5 | Rashi   | Mumbai  | 9876722338 |
|   5 | milk       | grocery   |     28 |     95 |   5 | Rashi   | Mumbai  | 9876722338 |
|   6 | bread      | grocery   |     44 |    195 |   5 | Rashi   | Mumbai  | 9876722338 |
|   7 | snacks     | grocery   |     17 |     15 |   5 | Rashi   | Mumbai  | 9876722338 |
|   8 | earbuds    | gadgets   |    510 |     15 |   5 | Rashi   | Mumbai  | 9876722338 |
|   9 | watch      | gadgets   |    580 |     15 |   5 | Rashi   | Mumbai  | 9876722338 |
|  10 | headphones | gadgets   |    610 |     15 |   5 | Rashi   | Mumbai  | 9876722338 |
|   1 | kitkat     | chocolate |     17 |     95 |   6 | Raj     | Mumbai  | 9872341338 |
|   2 | perk       | chocolate |     17 |    195 |   6 | Raj     | Mumbai  | 9872341338 |
|   3 | 5star      | chocolate |     17 |     15 |   6 | Raj     | Mumbai  | 9872341338 |
|   4 | cadboury   | chocolate |     22 |     15 |   6 | Raj     | Mumbai  | 9872341338 |
|   5 | milk       | grocery   |     28 |     95 |   6 | Raj     | Mumbai  | 9872341338 |
|   6 | bread      | grocery   |     44 |    195 |   6 | Raj     | Mumbai  | 9872341338 |
|   7 | snacks     | grocery   |     17 |     15 |   6 | Raj     | Mumbai  | 9872341338 |
|   8 | earbuds    | gadgets   |    510 |     15 |   6 | Raj     | Mumbai  | 9872341338 |
|   9 | watch      | gadgets   |    580 |     15 |   6 | Raj     | Mumbai  | 9872341338 |
|  10 | headphones | gadgets   |    610 |     15 |   6 | Raj     | Mumbai  | 9872341338 |
|   1 | kitkat     | chocolate |     17 |     95 |   7 | Arunita | Kolkata | 8976234455 |
|   2 | perk       | chocolate |     17 |    195 |   7 | Arunita | Kolkata | 8976234455 |
|   3 | 5star      | chocolate |     17 |     15 |   7 | Arunita | Kolkata | 8976234455 |
|   4 | cadboury   | chocolate |     22 |     15 |   7 | Arunita | Kolkata | 8976234455 |
|   5 | milk       | grocery   |     28 |     95 |   7 | Arunita | Kolkata | 8976234455 |
|   6 | bread      | grocery   |     44 |    195 |   7 | Arunita | Kolkata | 8976234455 |
|   7 | snacks     | grocery   |     17 |     15 |   7 | Arunita | Kolkata | 8976234455 |
|   8 | earbuds    | gadgets   |    510 |     15 |   7 | Arunita | Kolkata | 8976234455 |
|   9 | watch      | gadgets   |    580 |     15 |   7 | Arunita | Kolkata | 8976234455 |
|  10 | headphones | gadgets   |    610 |     15 |   7 | Arunita | Kolkata | 8976234455 |
|   1 | kitkat     | chocolate |     17 |     95 |   8 | Shreya  | Kolkata | 8998877655 |
|   2 | perk       | chocolate |     17 |    195 |   8 | Shreya  | Kolkata | 8998877655 |
|   3 | 5star      | chocolate |     17 |     15 |   8 | Shreya  | Kolkata | 8998877655 |
|   4 | cadboury   | chocolate |     22 |     15 |   8 | Shreya  | Kolkata | 8998877655 |
|   5 | milk       | grocery   |     28 |     95 |   8 | Shreya  | Kolkata | 8998877655 |
|   6 | bread      | grocery   |     44 |    195 |   8 | Shreya  | Kolkata | 8998877655 |
|   7 | snacks     | grocery   |     17 |     15 |   8 | Shreya  | Kolkata | 8998877655 |
|   8 | earbuds    | gadgets   |    510 |     15 |   8 | Shreya  | Kolkata | 8998877655 |
|   9 | watch      | gadgets   |    580 |     15 |   8 | Shreya  | Kolkata | 8998877655 |
|  10 | headphones | gadgets   |    610 |     15 |   8 | Shreya  | Kolkata | 8998877655 |
|   1 | kitkat     | chocolate |     17 |     95 |   9 | Sham    | Kolkata | 7898564534 |
|   2 | perk       | chocolate |     17 |    195 |   9 | Sham    | Kolkata | 7898564534 |
|   3 | 5star      | chocolate |     17 |     15 |   9 | Sham    | Kolkata | 7898564534 |
|   4 | cadboury   | chocolate |     22 |     15 |   9 | Sham    | Kolkata | 7898564534 |
|   5 | milk       | grocery   |     28 |     95 |   9 | Sham    | Kolkata | 7898564534 |
|   6 | bread      | grocery   |     44 |    195 |   9 | Sham    | Kolkata | 7898564534 |
|   7 | snacks     | grocery   |     17 |     15 |   9 | Sham    | Kolkata | 7898564534 |
|   8 | earbuds    | gadgets   |    510 |     15 |   9 | Sham    | Kolkata | 7898564534 |
|   9 | watch      | gadgets   |    580 |     15 |   9 | Sham    | Kolkata | 7898564534 |
|  10 | headphones | gadgets   |    610 |     15 |   9 | Sham    | Kolkata | 7898564534 |
|   1 | kitkat     | chocolate |     17 |     95 |  10 | Shaan   | Kolkata | 7898564594 |
|   2 | perk       | chocolate |     17 |    195 |  10 | Shaan   | Kolkata | 7898564594 |
|   3 | 5star      | chocolate |     17 |     15 |  10 | Shaan   | Kolkata | 7898564594 |
|   4 | cadboury   | chocolate |     22 |     15 |  10 | Shaan   | Kolkata | 7898564594 |
|   5 | milk       | grocery   |     28 |     95 |  10 | Shaan   | Kolkata | 7898564594 |
|   6 | bread      | grocery   |     44 |    195 |  10 | Shaan   | Kolkata | 7898564594 |
|   7 | snacks     | grocery   |     17 |     15 |  10 | Shaan   | Kolkata | 7898564594 |
|   8 | earbuds    | gadgets   |    510 |     15 |  10 | Shaan   | Kolkata | 7898564594 |
|   9 | watch      | gadgets   |    580 |     15 |  10 | Shaan   | Kolkata | 7898564594 |
|  10 | headphones | gadgets   |    610 |     15 |  10 | Shaan   | Kolkata | 7898564594 |
|   1 | kitkat     | chocolate |     17 |     95 |  11 | Sam     | Kolkata | 7890564594 |
|   2 | perk       | chocolate |     17 |    195 |  11 | Sam     | Kolkata | 7890564594 |
|   3 | 5star      | chocolate |     17 |     15 |  11 | Sam     | Kolkata | 7890564594 |
|   4 | cadboury   | chocolate |     22 |     15 |  11 | Sam     | Kolkata | 7890564594 |
|   5 | milk       | grocery   |     28 |     95 |  11 | Sam     | Kolkata | 7890564594 |
|   6 | bread      | grocery   |     44 |    195 |  11 | Sam     | Kolkata | 7890564594 |
|   7 | snacks     | grocery   |     17 |     15 |  11 | Sam     | Kolkata | 7890564594 |
|   8 | earbuds    | gadgets   |    510 |     15 |  11 | Sam     | Kolkata | 7890564594 |
|   9 | watch      | gadgets   |    580 |     15 |  11 | Sam     | Kolkata | 7890564594 |
|  10 | headphones | gadgets   |    610 |     15 |  11 | Sam     | Kolkata | 7890564594 |
|   1 | kitkat     | chocolate |     17 |     95 |  12 | Madhu   | Latur   | 7899804534 |
|   2 | perk       | chocolate |     17 |    195 |  12 | Madhu   | Latur   | 7899804534 |
|   3 | 5star      | chocolate |     17 |     15 |  12 | Madhu   | Latur   | 7899804534 |
|   4 | cadboury   | chocolate |     22 |     15 |  12 | Madhu   | Latur   | 7899804534 |
|   5 | milk       | grocery   |     28 |     95 |  12 | Madhu   | Latur   | 7899804534 |
|   6 | bread      | grocery   |     44 |    195 |  12 | Madhu   | Latur   | 7899804534 |
|   7 | snacks     | grocery   |     17 |     15 |  12 | Madhu   | Latur   | 7899804534 |
|   8 | earbuds    | gadgets   |    510 |     15 |  12 | Madhu   | Latur   | 7899804534 |
|   9 | watch      | gadgets   |    580 |     15 |  12 | Madhu   | Latur   | 7899804534 |
|  10 | headphones | gadgets   |    610 |     15 |  12 | Madhu   | Latur   | 7899804534 |
|   1 | kitkat     | chocolate |     17 |     95 |  13 | Srushti | Latur   | 9999804534 |
|   2 | perk       | chocolate |     17 |    195 |  13 | Srushti | Latur   | 9999804534 |
|   3 | 5star      | chocolate |     17 |     15 |  13 | Srushti | Latur   | 9999804534 |
|   4 | cadboury   | chocolate |     22 |     15 |  13 | Srushti | Latur   | 9999804534 |
|   5 | milk       | grocery   |     28 |     95 |  13 | Srushti | Latur   | 9999804534 |
|   6 | bread      | grocery   |     44 |    195 |  13 | Srushti | Latur   | 9999804534 |
